AREA,Event,Sub-Category,Time of Event,DOI,MGRS FRIENDLY,MGRS NON PARTNER 
Manbij,Cross DML,SAF,2229z,9-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2229z,9-May-19,37S CA 8785 4736,
Tal Abyad,Cross Border,SAF,1430z,10-May-19,,37SEV0085779010
Tal Abyad,Cross Border,SAF,1430z,10-May-19,37S DA 86946 60893,
Manbij,Cross DML,SAF,1944z,10-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1944z,10-May-19,37S DA 0028 5546,
Suwaydan,Attack,SAF,1130z,10-May-19,37S FU 47662 66503,
Manbij,Cross DML,SAF,2018z,10-May-19,,37SEV0085779010
Manbij,IED,,2018z,10-May-19,37S DA 0533 5450,
Green Village,IED,Detonation,1130z,10-May-19,37S FU 49715 60936,
Green Village,IED,Detonation,0700z,10-May-19,37S FU 49716 60914,
Mansurah,Attack,SAF,0745z,11-May-19,37S DV 77535 64379,
Manbij,Cross DML,SAF,1749z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1749z,11-May-19,37S DA 0028 5546,
Manbij,Cross DML,SAF,1749z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1848z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1848z,11-May-19,37S DA 0887 5450 ,
Manbij,Cross DML,SAF,1848z,11-May-19,37S DA 0879 5421,
Manbij,Cross DML,SAF,1848z,11-May-19,37S DA 0868 5414,
Manbij,Cross DML,SAF,1952z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1952z,11-May-19,37S DA 0533 5450,
Manbij,Cross DML,SAF,1917z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1917z,11-May-19,37S DA 0028 5546,
Manbij,Cross DML,SAF,1917z,11-May-19,37S CA 9905 5558,
Manbij,Cross DML,SAF,2055z,11-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2055z,11-May-19,37S CA 9905 5558,
Tal Abyad,Cross Border,SAF,1615z,12-May-19,,37SEV0085779010
Tal Abyad,Cross Border,SAF,1615z,12-May-19,37S DA 84578 61729,
Manbij,UAS,UAS,1800z,12-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2125z,12-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2125z,12-May-19,37S DA 0010 5532,
Manbij,Cross DML,SAF,0013z,13-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,0013z,13-May-19,37S CA 8087 3402,
Manbij,Cross DML,SAF,2310z,13-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2310z,13-May-19,37S CA 8368 4113,
Manbij,Cross DML,SAF,1805z,14-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1805z,14-May-19,37S DA 06456 54368,
Tal Abyad,Cross Border,SAF,2230z,14-May-19,37S DA 96093 62105,
Tal Abyad,Cross Border,SAF,2230z,14-May-19,,UNK
Tal Abyad,Cross Border,SAF,2350z,14-May-19,,37SEV0085779010
Tal Abyad,Cross Border,SAF,2350z,14-May-19,UNK,
Manbij,Cross DML,SAF,1031z,15-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,1031z,15-May-19,37S DA 00306 55459,
Manbij,IED,MBIED,0730z,15-May-19,37SDA 05674 38373,
Manbij,Cross DML,SAF,2056z,15-May-19,37S CA 9437 5596,
Manbij,Cross DML,SAF,2056z,15-May-19,37S CA 9318 5503,
Manbij,Cross DML,SAF,2056z,15-May-19,,37SEV0085779010
Manbij,Cross DML,SAF,2056z,15-May-19,,37SEV0085779010
Manbij,IED,VBIED ,1301z,16-May-19,37SDA 06521 43623,
Manbij,Cross DML,SAF,1831z,16-May-19,,37S DA 03430 56090
Manbij,Cross DML,SAF,1831z,16-May-19,37S DA 02931 55633,
Tal Abyad,IED,Detonation,1200Z,15-May-19,37S DA 99076 61901,
Manbij,Cross DML,SAF,1831z,16-May-19,,37S DA 03430 56090
Manbij,Cross DML,SAF,1831z,16-May-19,37S DA 02931 55633,
Manbij,Cross DML,SAF,2152Z,16-May-19,37S DA 0293 5563,
Manbij,Cross DML,SAF,2152Z,16-May-19,,37S DA 0340 5611
Manbij,UAS,UAS,2300z,16-May-19,,37S CA 8964 5127 
Manbij,UAS,UAS,0027z,17-May-19,,37S CA 8999 5184 
Raqqah,IED,RCIED,1030Z,17-May-19,,37S EV 03514 78802
Tal Abyad,Cross Border,IDF,1330Z,18-May-19,,37S DA 76302 63432
Tal Abyad,Cross Border,IDF,1330Z,18-May-19,37S DA 77188 62190,
Manbij,UAS,,2240Z,18-May-19,,37S CA 94821 39553 
Manbij,UAS,,2240Z,18-May-19,37S CA 94821 39553 ,
Raqqah,IED,,1740,18-May-19,37S DV 98803 78835,
Raqqah,IED,,2000Z,18-May-19,37SEV0125079308,
Shaheel,Vbied,,0800Z,18-May-19,37S FU 32033 86410,
Manbij,Cross Border Fire,,0149Z,19-May-19,,37S EA 90826 75944
Manbij,Cross DML,,2023Z,19-May-19,37S DA 03720 55020,
Manbij,Cross DML,,2023Z,19-May-19,,37S DA 04352 56618
Manbij,Cross DML,,0316Z,19-May-19,37S CA 9679 5673,
Manbij,Cross DML,,0316Z,19-May-19,,37S CA 9737 5733
Dayrik,Turkish Digging,,,19-May-19,,37S GB 57063 15319
Manbij,Cross DML,,1612Z,19-May-19,37S CA 83515 41099,
Manbij,Cross DML,,1612Z,19-May-19,,37S CA 83103 42049
Manbij,IED,,1655Z,19-May-19,,37S DA 06486 43151
Manbij,UAS,,0002-0103Z,19-May-19,,37S CA 9482 3955 
Manbij,UAS,,0046-0106Z,19-May-19,,37S CA 9482 3955 
Manbij,UAS,,1840Z,20-May-19,,37S DA 00118 61251
Raqqah,Stabbing,,1730Z,22-May-19,,37S EV 16815 76451
Bughaz,Cross DML,,1504Z,22-May-19,,37S CA 77557 36907
Bughaz,Cross DML,,1504Z,22-May-19,37S CA 79355 37182,
Manbij,Cross DML,,1952Z,22-May-19,,37S CA 90011 53141
Manbij,Cross DML,,1952Z,22-May-19,37S CA 89980 51863,
Manbij,IDF,,1700Z,22-May-19,37S DA 16766 69325,
Manbij,Cross DML,SAF,1617Z,23-May-19,,37S CA 97253 57403
Manbij,Cross DML,SAF,1617Z,23-May-19,37S CA 96901 56840,
Manbij,Cross DML,SAF,1626Z,23-May-19,,37S CA 90156 53259
Manbij,Cross DML,SAF,1626Z,23-May-19,37S CA 91759 53376,
Tall Tamir/Hasakah,SVBIED,,0830Z,23-May-19,,37S FA 22306 57329
Manbij,Photography,,1600Z,24-May-19,,37S DA 43273 81464
Tabqah,Cross FLOT,SAF,0100Z,25-May-19,37S EV 1908968638,
Tabqah,Cross FLOT,SAF,0100Z,25-May-19,,UNK
Raqqah,IED,Detonation,0815z,25-May-19,,37S DV 99026 78948
Manbij,UAS,,2109z,24-May-19,,37S DA 004 573
Manbij,UAS,,1800z,25-May-19,,37S CA 94821 39553
Raqqah,IED,RCIED,1830z,25-May-19,,37S DV 98694 78520
Raqqah,IED,,1912z,25-May-19,,37S EV 00774 78368
Manbij,UAS,UAS,1857z,26-May-19,37S CA 95003 56261,
Manbij,Cross DML,SAF,2132z,26-May-19,,37S CA 9468 5721
Manbij,Cross DML,SAF,2132z,26-May-19,37S CA 9500 5626,
Manbij,UAS,,2300z,26-May-19,,37S DA 00281 55459
Busayrah,MBIED,Detonation,0845z,27-May-19,,37S FU 30078 91368
Kobani,UAS,,2036Z,27-May-19,,37S DA 37512 56183
Tayannah,IED,,2030Z,27-May-19,,37S FU 41169 70908
Tal Abyad,IED,Detonation,0530z,28-May-19,,37S EA 08319 46455
Mansurah,Cross FLOT,,2215Z,28-May-19,37S DV 79290 49310,
Mansurah,Cross FLOT,,2215Z,28-May-19,,37S DV 79088 47912
Raqqah,IED,Explosion,0330z,29-May-19,,37S EV 00116 77675
Manbij,Cross DML,,1929Z,29-May-19,,37S CA 99531 56620
Manbij,Cross DML,,1929Z,29-May-19,37S CA 99041 55616,
Jurdi,IED,IED Emplacement,2230z,29-May-19,,37S FU 49657 61986
Tayanni,IED,Detonation,0700z,30-May-19,,37S FU 40261 74270
Manbij,Cross DML,SAF,1052z,31-May-19,,37S CA 99531 56620
Manbij,Cross DML,SAF,1052z,31-May-19,37S CA 99041 55616,
Manbij,Cross DML,SAF,2030z,31-May-19,,37S DA 00071 56294
Manbij,Cross DML,SAF,2030z,31-May-19,37S DA 00288 55475,
Manbij,Cross DML,Sniper fire,2040z,31-May-19,,37S DA 0008 5641
Manbij,Cross DML,Sniper fire,2040z,31-May-19,37S DA 0128 5553,
Manbij,Cross DML,SAF,2332z,31-May-19,,37S CA 9222 5554
Manbij,Cross DML,SAF,2332z,31-May-19,37S CA 9389 5541,
Kobani,Cross River,Mortars,1720z,1-Jun-19,,37S DA 43284 81253
Kobani,Cross River,Mortars,1720z,1-Jun-19,37S DA 14900 70252,
Manbij,Cross DML,Dishka ,1855z,1-Jun-19,,37S CA 77652 36674
Manbij,Cross DML,Dishka ,1855z,1-Jun-19,37S CA 79325 36876,
Kobani,Cross DML ,Illumination rounds,1720z,1-Jun-19,,37S DA 14900 70252
Kobani,Cross DML ,Illumination rounds,1720z,1-Jun-19,37S DA 43284 81253,
KLZ,Attack,Drive by,2310z,1-Jun-19,,37S DA 3678 5426
Raqqah,IED,VBIED,2120z,1-Jun-19,,37S EV 00826 78929
Raqqah,IED,VBIED,2125z,1-Jun-19,,37S EV 00580 78444
Manbij,Cross DML,SAF,2233z,1-Jun-19,37S CA 7822 4011,
Aleppo,Drive By,SAF,2310z,1-Jun-19,37S DA 3678 5426,
Raqqah,Vbied,Detonation,1820z,1-Jun-19,37S EV 00826 78929,
Raqqa,Vbied,Detonation,1820z,1-Jun-19,37S EV 00580 78444,
Manbij,Cross DML,SAF,1917z,2-Jun-19,,37S CA 97237 57525
Manbij,Cross DML,SAF,1917z,2-Jun-19,37S CA 96793 56732,
Tal Abyad,Cross Border,SAF,0015z,3-Jun-19,,37S DA 88140 62065
KLZ,UAS,,0050z,3-Jun-19,,37S DA 37280 57178
Jurdi,IED,Detonation,1300z,3-Jun-19,37S FU 52454 61702,
Manbij,Cross Border,SAF,1809z,4-Jun-19,,37S CA 77652 36674
Manbij,Cross Border,SAF,1809z,4-Jun-19,37S CA 79241 36931,
Manbij,Cross Border,SAF,1830z,4-Jun-19,,37S DA 0557 5611 
Manbij,Cross Border,SAF,1830z,4-Jun-19,37S DA 05333 54495,
Shahil,IED,Detonation,2000z,4-Jun-19,37S FU 31860 87677,
Dayr Az Zawr,IED,detonation,1945z,5-Jun-19,37S FU 363 875,
Manbij,VBIED,Detonation,2120z,5-Jun-19,37S CA 8797 3279,
Manbij,UAS,UAV,1810z,6-Jun-19,,37S CA 96014 56797
Manbij,Cross DML,SAF,2056Z,7-Jun-19,,37S CA 8474 2967 
Manbij,Cross DML,SAF,2056Z,7-Jun-19,37S CA 8721 3248,
Green Village,IED,VBIED,0900z,10-Jun-19,37S FV 41681 01370,
Suwar,Attack,Ambush,0910z,11-Jun-19,37S FV 50229 24401,
Manbij,Cross DML,SAF,1848z,11-Jun-19,,37S DA 00103 56208
Manbij,Cross DML,SAF,1848z,11-Jun-19,37S DA 01229 55531,
Kobani,Cross Border Fire,SAF,1802z,11-Jun-19,,37S DA 13604 77639
Kobani,Cross Border Fire,SAF,1802z,11-Jun-19,37S DA 13742 77713,
Green Village,IED,,1930z,11-Jun-19,,37S FU 679 405
Manbij,Cross DML,SAF,0745z,11-Jun-19,,37S CA 9723 5752
Manbij,Cross DML,SAF,0745z,11-Jun-19,37S CA 9695 5683,
Green Village,IED,,0830z,12-Jun-19,,37SFU3936386080
Manbij,Cross DML,SAF,1822z,12-Jun-19,,37S CA 86741 48922
Manbij,Cross DML,SAF,1822z,12-Jun-19,37S CA 88624 48948,
Manbij,Cross DML,SAF,2046z,12-Jun-19,,37S DA 0258 5652
Manbij,Cross DML,SAF,2046z,12-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,SAF,1443z,13-Jun-19,,37S DA 03088 56278
Manbij,Cross DML,SAF,1443z,13-Jun-19,37S DA 02915 55568,
Manbij,Cross DML,SAF,1720z,13-Jun-19,,37S CA 86700 48760
Manbij,Cross DML,SAF,1720z,13-Jun-19,37S CA 87753 47376,
Raqqah,IED,Detonation,1800z,13-Jun-19,,37SEV0052878828
Raqqah,IED,Detonation,1830z,13-Jun-19,,37SEV0092878329
Manbij,Cross DML,SAF,2017z,14-Jun-19,,37S DA 13549 54907
Manbij,Cross DML,SAF,2017z,14-Jun-19,37S DA 14272 54845,
Hasakah,MBIED,Detonation,0800Z,15-Jun-19,37SFA5769043075,
Manbij,Cross DML,SAF,1659z,15-Jun-19,,37S CA 93838 56908
Manbij,Cross DML,SAF,1659z,15-Jun-19,37S CA 95003 56271,
Manbij,Cross DML,,1622z,15-Jun-19,,37S DA 02931 55633
Manbij,Cross DML,,1622z,15-Jun-19,37S DA 02931 55633,
Manbij,Cross Border,SAF,1749z,15-Jun-19,,37S CA 77652 36674
Manbij,Cross Border,SAF,1749z,15-Jun-19,37S CA 79294 36939,
Manbij,Cross DML,RPG/DISHKA,1830z,15-Jun-19,,37S DA 0278 5637 
Manbij,Cross DML,RPG/DISHKA,1830z,15-Jun-19,37S DA 0293 5563,
Manbij,Cross DML,SAF,1900z,15-Jun-19,,37S CA 96316 57636
Manbij,Cross DML,SAF,1900z,15-Jun-19,37S CA 96014 56797,
Manbij,Cross DML,Dishka ,1822z,16-Jun-19,,37S DA 05450 55741
Manbij,Cross DML,Dishka ,1822z,16-Jun-19,37S DA 05333 54495,
Manbij,Cross DML,Dishka ,1848z,16-Jun-19,,37S CA 91878 56159
Manbij,Cross DML,Dishka ,1848z,16-Jun-19,37S CA 93176 55028,
Manbij,Cross DML,Dishka ,1858z,16-Jun-19,,37S CA 77652 36674
Manbij,Cross DML,Dishka ,1858z,16-Jun-19,37S CA 79325 36876,
Manbij,Cross DML,Dishka ,1917z,16-Jun-19,,37S DA 02566 56636
Manbij,Cross DML,Dishka ,1917z,16-Jun-19,37S DA 02460 55729,
Qamishli,IED,VBIED,1200z,17-Jun-19,,37S FB 98243 03339
Manbij,Cross DML,SAF,1925z,17-Jun-19,,37S CA 94679 57205
Manbij,Cross DML,SAF,1925z,17-Jun-19,37S CA 95023 56280,
Kobani,Cross Border,SAF,1736z,17-Jun-19,,37S DA 24344 83682
Kobani,Cross Border,SAF,1736z,17-Jun-19,37S DA 24344 83682,
Manbij,UAS,,2110z,17-Jun-19,,37S CA 9500 5626
Manbij,UAS,,2110z,17-Jun-19,,37S CA 9500 5626
Tall Khinzir,Cross Border,SAF,1700z,18-Jun-19,37SEA7407268901,
Ras Al Ayn,Cross Border,SAF,1422z,18-Jun-19,37S EA 49005 62845 ,
Manbij,Cross DML,SAF,2045z,18-Jun-19,,37S DA 026 565
Manbij,Cross DML,SAF,2045z,18-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,SAF,2132z,18-Jun-19,,37S DA 026 565
Manbij,Cross DML,SAF,2132z,18-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,Dishka ,0224z,19-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,Dishka ,0224z,19-Jun-19,,37S DA 0251 5664
Manbij,Cross DML,SAF,1616z,19-Jun-19,,37S DA 1355 5507
Manbij,Cross DML,SAF,1616z,19-Jun-19,37S DA 1428 5486,
Manbij,Cross DML,Dishka ,1857z,19-Jun-19,,37S CA 91478 55307
Manbij,Cross DML,Dishka ,1857z,19-Jun-19,37S CA 93169 54954,
Manbij,Cross DML,Dishka ,1430z,19-Jun-19,,37S DA 0251 5663
Manbij,Cross DML,Dishka ,1430z,19-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,SAF,1930z,19-Jun-19,,37S CA 89640 54025
Manbij,Cross DML,SAF,1930z,19-Jun-19,,37S CA 91478 55307
Manbij,Cross DML,SAF,1930z,19-Jun-19,37S CA 91729 52810,
Manbij,Cross DML,SAF,1930z,19-Jun-19,37S CA 92195 53510,
Manbij,Cross DML,SAF,1930z,19-Jun-19,37S CA 93176 55028,
Manbij,Cross DML,SAF,1815z,20-Jun-19,,37S DA 05549 56017
Manbij,Cross DML,SAF,1815z,20-Jun-19,37S DA 05333 54495,
Manbij,Cross DML,Dishka ,1939z,20-Jun-19,,37S DA 0270 5638
Manbij,Cross DML,Dishka ,1939z,20-Jun-19,37S DA 0210 5604,
Manbij,Cross DML,SAF,1359z,21-Jun-19,,37S DA 11959 54454 
Manbij,Cross DML,SAf,1359z,21-Jun-19,37S DA 10978 53439,
Raqqah,UAS,,1800z,21-Jun-19,,37SDV9455179207
Green Village,IED,,1945z,21-Jun-19,,37S FU 857 669
Manbij,Cross DML,,0900z,23-Jun-19,,37S DA 00106 56149
Manbij,Cross DML,,0900z,23-Jun-19,37S DA 00101 55793,
Manbij,IR lasing,,2055z,23-Jun-19,,37S CA 9524 5989
Qamishli,IED,MBIED,1830z,23-Jun-19,,
Raqqah,IED,Detonation,2112z,23-Jun-19,37S EV 01568 78293,
Suluk,UXO,ERW,1530z,24-Jun-19,37S EA 10429 48535,
Manbij,Cross DML,DShK Fire,1819z,24-Jun-19,,37S CA 93838 56908
Manbij,Cross DML,DShK Fire,1819/2119z,24-Jun-19,37S CA 94374 55957,
Manbij,IED,,2315z,24-Jun-19,,37SDA0556643572
Green Village,Cross FLOT,SAF,830z,25-Jun-19,,37SFU4044370921
Raqqah,IED,Detonation,1445z,25-Jun-19,,37S DV 99785 78783
Manbij,Cross DML,DShK Fire,1757z,25-Jun-19,,37S CA 93838 56908
Manbij,Cross DML,DShK Fire,1757z,25-Jun-19,37S CA 94408 56018,
Green Village,Cross FLOT,SAF,0830z,25-Jun-19,,37S FU 40443 70921
Manbij,Cross DML,Dishka ,1505,26-Jun-19,,37S CA 93838 56908
Manbij,Cross DML,Dishka ,1505,26-Jun-19,37S CA 94419 56010,
Dayr Az Zawr,IED,,0900z,26-Jun-19,,37SFV2391301118
Green Village,Cross River,SAF,1330z,27-Jun-19,37SFU4048471366,
Green Village,Cross River,SAF,1330z,27-Jun-19,,37SFU4043770941
Tabqah,IED,Detonation,0500z,27-Jun-19,37SDV5865567269,
Jarabulus,Cross River,Dishka ,1430z,28-Jun-19,,37S DA 13377 65527
Jarabulus,Cross River,Dishka ,1430z,28-Jun-19,37S DA 15251 66566,
Diban,Explosion,Explosion,1750z,29-Jun-19,37SFU4441982781,
Manbij,Explosion,Mine,1000z,30-Jun-19,,37S CA 78983 37523
Qamishli,Cross Border,SAF,2130z,29-Jun-19,,37S GB 35966 11306 
Qamishli,Cross Border,SAF,2130z,29-Jun-19,37S GB 35155 09596,
Qamishli,Cross Border,SAF,2130z,29-Jun-19,37S GB 38114 10276,
Qamishli,Cross Border,SAF,1500z,30-Jun-19,37S GB 51988 12764 ,
Green Village,Cross FLOT,SAF,1630z,1-Jul-19,,37S FU 40484 71366
Green Village,Cross FLOT,SAF,1630z,1-Jul-19,37S FU 40437 70941,
Abu Rasin,IED,VBIED,1850z,1-Jul-19,,37SFA1786178522
Manbij,Cross DML,Mortars,1827z,29-Jun-19,37S CA 94408 56018,
Raqqah,Explosion,UXO,1748z,2-Jul-19,37S EV 00381 77979,
Shaddadi,UAS,Sighting,2230z,3-Jul-19,37SFV5565591054,
Manbij,Cross DML,PKM Fire,1919z,3-Jul-19,,37S DA 0435 5662
Manbij,Cross DML,PKM Fire,1919z,3-Jul-19,37S DA 0534 5451,
Jarabulus,Cross DML,Direct Fire,1830z,4-Jul-19,,37S DA 13572 72939
Jarabulus,Cross DML,Direct Fire,1830z,4-Jul-19,37S DA 14414 73122,
Tabqah,IED,VBIED,1845z,4-Jul-19,37SDV5935365922,
Raqqah,IED,Detonation,1825z,4-Jul-19,37SEV0140479492,
Shaddadi,UAS,Sighting,2100z,5-Jul-19,37SFV5565591054,
Green Village,Cross FLOT,Dishka ,1315z,6-Jul-19,,37S FU 59504 46295   
Green Village,Cross FLOT,Dishka ,1315z,6-Jul-19,37S FU 59366 46802,
Manbij,UAS,Sighting,0500z,7-Jul-19,,37S DA 0561 3850
Raqqah,IED,RCIED,0545z,7-Jul-19,,37SDV9982679312
Green Village,IED,MBIED,0730z,7-Jul-19,37SFU5359754782,
Jarabulus,Cross DML,IDF,1920z,7-Jul-19,,37S DA 12853 69616
Jarabulus,Cross DML,IDF,1920z,7-Jul-19,37S DA 16425 69805,
Raqqah,IED,Detonation,1730z,7-Jul-19,,37SEV0191380155
Manbij,TSO Engage Civilians,SAF,2029z,8-Jul-19,,37S DA 0433 5575
Manbij,TSO Engage Civilians,SAF,2029z,8-Jul-19,37S DA 0454 5530,
Diban,IED,,1400z,9-Jul-19,37SFU4153472551,
Green Village,IED,,1700z,9-Jul-19,37S FU 30505 87815,
Hasakah,Cross Border,,1815z,9-Jul-19,37 S EA 84171 73813,
Raqqah,IED,,1600z,9-Jul-19,37SDV9826977498,
Raqqah,Grenade Attack,,1210z,9-Jul-19,37SEV0131077484,
Manbij City,Other,ERW,1000z,8-Jul-19,37SDA0503142497,
Mayadin,Attack,Grenade,0930z,10-Jul-19,37S FU 38296 76604,
Shaddadi,IED,MBIED,0730z,10-Jul-19,37S FV 59742 58154,
Raqqah,Murder,Kidnapping,1505z,10-Jul-19,,37SEV0006779971
Kobani,Cross Border,SAF,1945z,10-Jul-19,,37SEA0285362933
Hasakah,IED,MBIED,0700z,11-Jul-19,,37S FA 57695 42930
Qamishli,IED,VBIED,1500z,11-Jul-19,,37S FB 98008 02795
Suluk,IED,,1330z,11-Jul-19,,37SEA1150250428
Manbij,Cross DML,IDF,2013z,11-Jul-19,,37SCA86704876
Manbij,Cross DML,IDF,2013z,11-Jul-19,37SCA8784647359,
Manbij,Cross DML,IDF,2013z,11-Jul-19,37S CA 8867 4814,
Green Village,IED,,1200z,12-Jul-19,37SFU3058181850,
Green Village,IED,VBIED,1300z,12-Jul-19,37SFU4185871909,
Green Village,IED,REMOVAL,0900z,12-Jul-19,37S FU 54318 60403,
Hasakah,IED,Detonation,1730z,16-Jul-19,,37S FA 56290 41916 
Kobani,Cross Border,Heavy MG Fire,1745z,16-Jul-19,,37SEA7214068155
Raqqah,IED,Removal,1810z,16-Jul-19,,37SDV9917779993
Raqqah,Mine,Explosion,1830z,16-Jul-19,,37SEV0107379193
Derrik,IED,Detonation,0200z,17-Jul-19,,37SGA5931082259
Hasakah,IED,VBIED,0750z,17-Jul-19,,37SFA5673440223
Manbij,UAS,Sighting,2315z,17-Jul-19,,37S CA 9841 5447
Mayadin,IED,Premature Det,2000z,17-Jul-19,,37SFU3681775355
Manbij,UAS,Sighting,1809z,18-Jul-19,,37S CA 92195 53510
Ras Al Ayn,Cross Border,Heavy MG Fire,1715z,18-Jul-19,,37S EA 98176 80005
Manbij,Cross DML,DISHKA,1701z,18-Jul-19,37S CA 93176 55028,
Manbij,Cross DML,DISHKA,1701z,18-Jul-19,,37S CA 92152 55704 
Ras Al Ayn,Cross Border,Heavy MG Fire,1800z,18-Jul-19,37S EA 66577 67726,
Ras Al Ayn,Cross Border,Heavy MG Fire,1800z,18-Jul-19,,37S EA 66920 65341
Manbij,UAS,Sighting,2130z,18-Jul-19,,37SDA3778555919
Hasakah,Harrassing Fire,SAF,1713z,15-Jul-19,,37S FA 42486 61286
Diban,Assassination,,1830z,18-Jul-19,,37S FU 407 717
Diban,IED,Detonation,0030z,19-Jul-19,,37SFU3786274348
Manbij,Cross DML,DISHKA,1714z,19-Jul-19,37S DA 02496 56625 ,
Manbij,Cross DML,DISHKA,1714z,19-Jul-19,,37S DA 02130 56095 
Manbij,UAS,,2240z,19-Jul-19,,37S CA 81064 34805
Hasakah,Cross Border,Heavy MG Fire,1900z,19-Jul-19,37S EA 84887 74959,
Hasakah,Cross Border,Heavy MG Fire,1900z,19-Jul-19,,37S EA 85410 72772
Mayadin,Other,ECP Probe,0030z,20-Jul-19,37SFU4229079035,
Hasakah,Cross Border,Heavy MG Fire,1810z,22-Jul-19,37SEA6717169176,
Hasakah,Cross Border,Heavy MG Fire,1810z,22-Jul-19,,37SEA6687865275
Raqqah,Mine,REMOVAL,1355z,22-Jul-19,,37SDV9097674900
Hasakah,IED,MBIED,0858z,21-Jul-19,,37SFA5709539463
Suluk,IED,Detonation,0300z,21-Jul-19,,37SEA0689842268
Bashur,UAS,,1355z,22-Jul-19,,38S MF 41178 42627
Manbij,UAS,,2052z,22-Jul-19,,37S CA 9482 3955
Manbij,Cross DML,DISHKAS,2140z,22-Jul-19,37S CA 7823 4029,
Manbij,Cross DML,DISHKAS,2140z,22-Jul-19,,37S CA 7651 4113
Ras Al Ayn,Cross Border,SAF,1630z,23-Jul-19,,37S FA 00510 81042
Ras Al Ayn,Cross Border,SAF,1630z,23-Jul-19,37S FA 00565 80367,
Kobani,Cross Border,Civilian Wounded,1120z,24-Jul-19,37SDA5672078487,
Manbij,Cross DML,SAF,2123z,24-Jul-19,,37S CA 890 514
Manbij,Cross DML,SAF,2123z,24-Jul-19,37S CA 8964 5127,
Green Village,Drive By,SAF,1030z,25-Jul-19,,37SFU3773274245
Manbij,Cross DML,Heavy MG Fire,1914z,25-Jul-19,,37S CA 93874 56982
Manbij,Cross DML,Heavy MG Fire,1914z,25-Jul-19,37S CA 94425 56025,
Manbij,Cross DML,DISHKA ,2047z,25-Jul-19,,37S CA 77652 36674
Manbij,Cross DML,DISHKA ,2047z,25-Jul-19,37S CA 79308 36975,
Manbij,Cross DML,DISHKA,1917z,26-Jul-19,,37S CA 80957 32438
Manbij,Cross DML,DISHKA,1917z,26-Jul-19,37S CA 81062 34328,
Green village,Cross FLOT,Illumination rounds,1716z,26-Jul-19,,37S FV 12273 05215
Green village,Cross FLOT,Illumination rounds,1716z,26-Jul-19,37S FV 21979 05171,
Raqqah,Explosion,Anti-personnel Mine,0926z,27-Jul-19,,37S EV 06711 85982
Dayr Az Zawr,UAS,Iranian,1912z,27-Jul-19,,37SFU2986764774
Raqqah,Explosion,Grenade,2000z,27-Jul-19,37SEV0044579476,
UNCLASSIFIED//FOUO,,,,,,
